asset,rsi_period,rsi_threshold,ma_period,hold_days,train_trades,train_wr,train_avg,train_sharpe,train_pl,train_recovery,val_trades,val_wr,val_avg,val_sharpe,val_pl,val_recovery,wr_overfit_diff,ret_overfit_diff,score
0050,12,40,30,10,25,72.0,1.5793444071467584,5.998453076572516,1.2739820821144685,5.124691853802231,8,37.5,1.560474195122308,4.321531858409754,4.236332526374072,3.7341289053134714,34.5,0.018870212024450383,-0.7591220654523616
2330,12,45,20,5,36,52.77777777777778,0.5885812329748751,0.9932951264334166,1.4446586552150589,1.9737351248999009,11,36.36363636363637,0.5377419783462609,0.565760693977075,2.4717507766456492,0.6789778853829126,16.41414141414141,0.05083925462861416,-2.019760703761667
0050,12,40,120,7,21,66.66666666666666,0.7587417364658815,1.6491655875912614,0.846780813909867,1.0593773095519172,9,44.44444444444444,1.0421343204390436,2.9883455996718893,2.6979632778947478,2.8054913621777886,22.222222222222214,0.28339258397316214,-2.9136251966260724
0050,12,45,60,10,33,60.60606060606061,0.6253815044194699,1.088583083221563,1.0219920382667835,1.0775181168915917,12,41.66666666666667,1.109836722086452,2.8729415195917234,2.79551473575158,2.016733056630406,18.939393939393938,0.4844552176669821,-3.4719396102398994
0050,10,45,30,5,33,54.54545454545454,0.4396537607045847,0.25282900344101367,1.2103456556082364,1.109725614231258,18,38.88888888888889,0.5294703200602571,0.63978052500093,2.3304394328762172,1.1607767505517723,15.656565656565647,0.0898165593556724,-3.7377513530138904
0050,12,45,30,5,36,63.888888888888886,0.9782545773776476,4.03332190258898,1.4878907166253441,4.64940273379816,14,42.857142857142854,0.6385160303230596,1.1052271874939645,2.0699424019151618,0.9485815160165311,21.03174603174603,0.33973854705458806,-3.8418879121272105
2330,10,45,60,10,35,42.857142857142854,0.35140818484273345,-0.14649926032966856,1.6041771306584578,0.40321203074418593,12,41.66666666666667,-0.16994153691752847,-2.613516937294573,1.2392925312407093,0.2609365564353062,1.1904761904761827,0.521349721760262,-4.093074373162521
2330,16,40,20,3,20,45.0,0.4848708667614117,0.44568048086975365,1.831610907488919,1.349001343089544,5,40.0,-0.1202570077602528,-1.902774757438144,1.3934386097179696,0.08810462488528725,5.0,0.6051278745216645,-5.086193898399914
006208,12,45,120,10,27,55.55555555555556,0.9055326671946203,2.093582105455287,1.4061287703651253,1.5491507903400967,15,33.33333333333333,0.7583201491756726,1.6212373964472435,3.5293005219832234,0.9283100145280525,22.22222222222223,0.14721251801894775,-5.270822551574475
0050,12,35,120,3,12,58.333333333333336,0.054903107274131224,-1.5809554287597347,0.7465102779203117,0.050881353460606196,6,50.0,0.384640866202474,-0.09872055433759934,1.5539640406714914,0.9116677277404046,8.333333333333336,0.3297377589283428,-5.3923583593041755
