Date,Close,High,Low,Open,Volume,Foreign_Net,Trust_Net,F_Consec,T_Consec,MA20,MA60,Bias,RSI,ATR_Percent,Foreign_Score,Trust_Score,Base_Inst_Score,Final_Inst_Score,RSI_Score,Bias_Score,Total_Score,Signal
2026-01-19,1754.2763671875,1774.2113259055398,1719.3901894309304,1719.3901894309304,29580038,-9837846,-1063639,0,0,1686.1653238932292,1686.1653238932292,4.039404815715666,80.7017144300982,0.005,0,0,0,0,5,10,15,不進場
2026-01-20,1769.2276611328125,1769.2276611328125,1734.3414818992078,1734.3414818992078,29401234,-6228300,-22024,0,0,1692.5547344501201,1692.5547344501201,4.530011651741472,81.66663264764595,0.005,0,0,0,0,5,10,15,不進場
2026-01-21,1734.3414306640625,1759.2601293805,1734.3414306640625,1739.32517040735,45192749,-18211755,-3632892,0,0,1695.5394984654017,1695.5394984654017,2.2884711464274123,73.13429343737181,0.005,0,0,0,0,5,15,20,不進場
2026-01-22,1754.2763671875,1764.2438465465198,1744.30888782848,1759.26010686701,32069478,-4039767,420754,0,1,1699.4552897135416,1699.4552897135416,3.225802867882392,74.64785136811093,0.005,0,10,10,10,5,10,25,不進場
2026-01-23,1764.243896484375,1769.2276363049525,1744.3089372020656,1764.243896484375,27601167,-4687757,3364039,0,2,1703.5045776367188,1703.5045776367188,3.565550668018764,67.8571178635912,0.005,0,15,15,15,15,10,40,觀望
2026-01-26,1749.292724609375,1779.1951643462874,1749.292724609375,1759.2602045216793,22960198,-3984543,-398744,0,0,1706.197998046875,1706.197998046875,2.5257752389717694,59.61537374540508,0.005,0,0,0,0,15,15,30,不進場
2026-01-27,1774.21142578125,1779.1951657413097,1749.2927259809514,1754.276465941011,28985200,6984855,-284920,1,0,1709.9765218098958,1709.9765218098958,3.756478709038993,70.5882183434678,0.005,10,0,10,10,5,10,25,不進場
2026-01-28,1814.081298828125,1814.081298828125,1784.1788598364526,1784.1788598364526,29301156,8099283,663992,2,1,1715.455720600329,1715.455720600329,5.749234855988106,73.6841833864818,0.005,15,10,15,15,5,10,30,不進場
2026-01-29,1799.130126953125,1829.0325667362797,1794.146386989266,1824.04882677242,32224002,-8349508,15131,0,2,1719.6394409179688,1719.6394409179688,4.622520520506488,71.18643364156657,0.005,0,15,15,15,5,10,30,不進場
2026-01-30,1769.2276611328125,1794.1463605853874,1769.2276611328125,1784.1788808043575,40825139,-13834712,450218,0,3,1729.108544921875,1722.0007847377233,2.3202196489492373,63.492062874938284,0.005,0,40,40,40,15,15,70,買進
2026-02-02,1759.2601318359375,1759.2601318359375,1739.3251728349635,1744.308912585207,28251381,-9659323,2045378,0,4,1733.8430969238282,1723.6943914240057,1.4659362751568494,59.01637303668915,0.005,0,50,50,50,15,15,80,買進
2026-02-03,1794.1463623046875,1804.113842095269,1779.195142618815,1804.113842095269,26744162,-2935116,1082545,0,5,1738.5776489257812,1726.757520592731,3.1962169428118816,63.23527928582131,0.005,0,50,50,50,15,10,75,買進
2026-02-04,1779.195068359375,1799.1300271084997,1769.2275889848129,1779.195068359375,26952301,-9216872,840321,0,6,1744.0597595214845,1728.942418416341,2.0145702374057737,64.17909356484634,0.005,0,60,60,60,15,15,90,買進
2026-02-05,1759.2601318359375,1774.2113510866675,1754.276392085694,1759.2601318359375,26299986,-10205675,1235907,0,7,1748.0467468261718,1730.155126953125,0.6414808431253464,54.09835868096992,0.005,0,60,60,60,15,15,90,買進
2026-02-06,1774.21142578125,1774.21142578125,1734.3415061007724,1739.325246060832,33263592,-7646330,962315,0,8,1753.0304870605469,1731.849599984976,1.2082470257673033,53.33334694094162,0.005,0,60,60,60,15,15,90,買進
2026-02-09,1809.0975341796875,1829.0324932340093,1809.0975341796875,1824.048753470429,36529289,2925881,267241,1,9,1759.2601623535156,1734.71063458478,2.8328596811684794,56.249990432145545,0.005,10,60,60,60,15,15,90,買進
2026-02-10,1873.88623046875,1873.88623046875,1834.016310671543,1839.0000506461936,41859169,12202638,240642,2,10,1767.73251953125,1739.681191580636,6.0050776780216,70.0000034991009,0.005,15,60,60,60,5,5,70,觀望
2026-02-11,1908.7723388671875,1918.7398184435172,1868.9024205618675,1873.8861603500327,40488310,-3683705,1140830,0,11,1777.9491821289062,1745.5119207974137,7.358093136364811,71.23287579306775,0.005,0,20,20,20,5,5,30,不進場
2026-02-23,1893.8211669921875,1928.7073463841489,1893.8211669921875,1893.8211669921875,69816209,-15650670,2321667,0,12,1788.4150390625,1750.4555623372396,5.893829207841048,67.56757204048878,0.005,0,20,20,20,15,10,45,觀望
2026-02-24,1958.6097412109373,1968.5772208099752,1908.772343215748,1908.772343215748,40961679,8068948,1486119,1,13,1799.6284545898438,1757.1702132686491,8.834117187668445,74.99999271020346,0.005,10,20,20,20,5,5,30,不進場
2026-02-25,2008.4471435546875,2018.4146231753064,1988.51218431345,1988.51218431345,40832607,-3322125,2743762,0,14,1812.3369934082032,1765.022617340088,10.820843521915204,76.40448757907136,0.005,0,20,20,20,5,0,25,不進場
2026-02-26,1988.51220703125,2003.4634266329888,1988.51220703125,1993.495946898496,58561388,-16872654,1201636,0,15,1823.301220703125,1771.795029148911,9.06109119284274,70.58823529411765,0.005,0,20,20,20,5,5,30,不進場
2026-03-02,1968.5772705078125,1988.5122302091572,1933.691091030459,1933.691091030459,48884884,-19024757,2623969,0,16,1835.0130126953125,1777.582742130055,7.278654532063375,69.76743788636341,0.005,0,20,20,20,15,5,40,觀望
2026-03-03,1928.707275390625,1973.5609329578488,1928.707275390625,1963.5934534984656,43090471,-20298772,1278971,0,17,1843.7345581054688,1781.9005859375,4.6087283503797885,68.18180679527906,0.005,0,20,20,20,15,10,45,觀望
2026-03-04,1858.9349365234373,1903.7885945092576,1858.9349365234373,1888.837375180651,68160943,-26555282,1466715,0,18,1848.4691101074218,1784.0404290093315,0.5661888726616199,59.99999999999997,0.005,0,20,20,20,15,15,50,觀望
2026-03-05,1893.8211669921875,1953.6260459498355,1888.8374270790505,1933.691086297286,48120463,-9637956,1493516,0,19,1855.6955322265626,1787.0074759818413,2.0545199416350233,59.99999999999999,0.005,0,20,20,20,15,15,50,觀望
2026-03-06,1883.8536376953125,1893.821117259838,1873.8861581307872,1873.8861581307872,30082724,-10060776,946000,0,20,1861.1776428222656,1789.5560591848273,1.218368110131674,60.606063604985124,0.005,0,20,20,20,15,15,50,觀望
2026-03-09,1804.11376953125,1804.11376953125,1764.2438519725483,1769.2275916673862,76459172,-39463750,2661429,0,21,1860.679266357422,1789.9293338090945,-3.040045527938192,54.054051668496335,0.005,0,20,20,20,15,5,40,觀望
2026-03-10,1843.9837646484373,1883.8536838840796,1824.048805030617,1863.9187242662583,41375691,-1229168,522459,0,22,1862.9219482421875,1791.280694580078,-1.0165849198148016,56.034480392254146,0.005,0,20,20,20,15,15,50,觀望
2026-03-11,1933.6910400390625,1943.6585196268927,1868.902422718166,1878.869902305996,36167313,5797127,-36400,1,0,1871.1451171875,1794.7541176400534,3.342654841521569,59.84251892573274,0.005,10,0,10,10,15,10,35,不進場
2026-03-12,1878.869873046875,1908.7723113447032,1878.869873046875,1893.821092195789,34040589,-18789709,282821,0,1,1877.1256042480468,1796.7568737211682,0.0929223273541649,50.39999216201123,0.005,0,10,10,10,15,15,40,觀望
2026-03-13,1858.9349365234373,1878.8698956282465,1834.0162376424264,1834.0162376424264,31214304,-13096393,-133279,0,0,1880.3650329589843,1798.202875181686,-1.139677459425215,45.90163967339038,0.005,0,0,0,0,10,15,25,不進場
2026-03-16,1839.0,1873.8861788617885,1839.0,1868.90243902439,31249086,-15513696,-801831,0,0,1883.3552795410155,1799.1300825639205,-2.3551201423782966,45.52845382746112,0.005,0,0,0,0,10,5,15,不進場
2026-03-17,1870.0,1880.0,1860.0,1875.0,23812211,674937,-492057,1,0,1888.8922729492188,1800.7049696180557,-1.0001773642560001,42.35083092355354,0.005,10,0,10,10,10,15,35,不進場
2026-03-18,1905.0,1910.0,1890.0,1900.0,23068156,1094756,-144429,2,0,1895.4317016601562,1802.9722528872283,0.5048083943865211,40.83523364969104,0.005,15,0,15,15,10,15,40,觀望
2026-03-19,1850.0,1880.0,1850.0,1875.0,31040569,-22338914,-99637,0,0,1897.476824951172,1803.9728432513298,-2.502103020541168,38.44651759884626,0.005,0,0,0,0,10,5,15,不進場
2026-03-20,1840.0,1870.0,1840.0,1860.0,46312322,-6804981,-4028408,0,0,1895.7825134277343,1804.723409016927,-2.9424532103566485,39.0944581308075,0.005,0,0,0,0,10,5,15,不進場
2026-03-23,1810.0,1815.0,1785.0,1790.0,34902948,-14581510,1860884,0,1,1890.843896484375,1804.831094547194,-4.275545783271008,39.760157393156895,0.005,0,10,10,10,10,5,25,不進場
2026-03-24,1810.0,1850.0,1800.0,1850.0,27001025,-4735969,691001,0,2,1886.6528381347657,1804.93447265625,-4.062901058710321,45.20115811452293,0.005,0,15,15,15,10,5,30,不進場
2026-03-25,1845.0,1875.0,1845.0,1865.0,40964040,1679157,265301,1,3,1880.9723510742188,1805.7200712316176,-1.912433803382332,45.213383086137156,0.005,10,40,40,40,10,15,65,買進
2026-03-26,1840.0,1865.0,1840.0,1850.0,20958470,-5047716,547600,0,4,1872.5499938964845,1806.3793006310095,-1.7382710209382986,45.65812599240952,0.005,0,50,50,50,10,15,75,買進
2026-03-27,1820.0,1825.0,1800.0,1805.0,28974140,-10423797,381460,0,5,1864.1243835449218,1806.6362949587265,-2.367030007998309,51.78389412545872,0.005,0,50,50,50,15,5,70,買進
2026-03-30,1780.0,1800.0,1780.0,1780.0,39889700,-16398403,557769,0,6,1854.6955200195312,1806.1430302372685,-4.0273737232483615,42.8172421816739,0.005,0,60,60,60,10,5,75,買進
2026-03-31,1760.0,1790.0,1760.0,1775.0,49221091,-17705807,1420700,0,7,1846.26015625,1805.3040660511363,-4.672156085803518,26.883792594441047,0.005,0,60,60,60,5,5,70,買進
2026-04-01,1855.0,1855.0,1830.0,1840.0,35537379,8644073,633380,1,8,1846.063409423828,1806.1914934430804,0.48408903673363807,47.13012716309646,0.005,10,60,60,60,10,15,85,買進
2026-04-02,1810.0,1865.0,1805.0,1865.0,25132417,-9249574,-192771,0,0,1841.8723510742188,1806.2583093475878,-1.7304321363872048,44.45100257769706,0.005,0,0,0,0,10,15,25,不進場
2026-04-07,1860.0,1860.0,1835.0,1850.0,17953562,5971798,420851,1,1,1840.679669189453,1807.1848902209051,1.049630260709875,52.22929936305732,0.005,10,10,10,10,15,15,40,觀望
2026-04-08,1950.0,1950.0,1925.0,1935.0,46515921,20104716,451659,2,2,1847.9739807128906,1809.6054853019068,5.520966223114839,57.54716981132075,0.005,15,15,15,15,15,10,40,觀望
2026-04-09,1955.0,1955.0,1930.0,1945.0,31835073,224469,-103635,3,0,1853.5247924804687,1812.0287272135417,5.4747154141775844,55.0,0.005,40,0,40,40,15,10,65,買進
2026-04-10,2000.0,2000.0,1970.0,1975.0,28637625,8534625,-175389,4,0,1856.8402404785156,1819.0313008626301,7.709858737474986,65.30612244897961,0.005,50,0,50,50,15,5,70,買進
2026-04-13,1990.0,1995.0,1975.0,1985.0,28968757,-1222094,-4823390,0,0,1862.396746826172,1824.4551493326824,6.8515612149390215,65.30612244897961,0.005,0,0,0,0,15,5,20,不進場
2026-04-14,2055.0,2055.0,2010.0,2015.0,39113405,19608150,615130,1,1,1872.2,1830.3808939615885,9.763914111740196,73.33333333333333,0.005,10,10,10,10,5,5,20,不進場
2026-04-15,2080.0,2100.0,2060.0,2065.0,40343568,5069709,-138422,2,0,1884.25,1837.2216796875,10.388748839060634,74.54545454545455,0.005,15,0,15,15,5,0,20,不進場
2026-04-16,2085.0,2090.0,2055.0,2080.0,32038524,-1305961,306139,0,1,1895.0,1843.9796732584634,10.026385224274406,73.07692307692308,0.005,0,10,10,10,5,0,15,不進場
2026-04-17,2030.0,2060.0,2030.0,2055.0,39260244,-9652631,-2185663,0,0,1901.25,1849.9040629069011,6.771860618014464,66.66666666666666,0.005,0,0,0,0,15,5,20,不進場
2026-04-20,2025.0,2055.0,2025.0,2030.0,25407621,-3102934,660504,0,1,1910.0,1855.578995768229,6.020942408376963,68.46846846846847,0.005,0,10,10,10,15,5,30,不進場
2026-04-21,2050.0,2075.0,2045.0,2050.0,25783476,2132940,696158,1,2,1920.5,1861.3383443196615,6.743035667794844,75.0,0.005,10,15,15,15,5,5,25,不進場
2026-04-22,2050.0,2070.0,2040.0,2045.0,24762881,-2458339,-741909,0,0,1932.5,1867.0976928710938,6.0802069857697285,77.88461538461539,0.005,0,0,0,0,5,5,10,不進場
