symbol,rsi_period,rsi_threshold,hold_days,tp_pct,sl_pct,train_n,train_wr,train_avg,train_sharpe,train_pl,train_stability,val_n,val_wr,val_avg,val_sharpe,val_pl,val_recovery,val_bull_wr,val_bull_avg,val_range_wr,wr_diff,ret_diff,score
2330,10,60,7,20,10,60,63.33333333333333,1.5277809024954254,6.932207947035799,2.0170776470603675,3.489476377622072,29,62.06896551724138,1.4114243802966897,3.57063206086661,1.09050242296536,1.5882006815843268,62.06896551724138,1.4114243802966897,0,1.2643678160919478,0.11635652219873571,67.23664681185038
2454,10,60,7,15,10,53,56.60377358490566,1.2170100729569604,3.741194260835667,1.4079425354331643,5.147137666540734,30,56.666666666666664,1.7354682967113253,3.761754056463355,1.3585330030924523,1.3383320279793212,56.666666666666664,1.7354682967113253,0,0.06289308176100405,0.5184582237543649,67.1332329334451
2330,10,60,7,15,6,60,63.33333333333333,1.5277809024954254,6.932207947035799,2.0170776470603675,3.489476377622072,29,62.06896551724138,1.3776442442895307,3.528429400951878,1.079028975332492,1.5501896936918662,62.06896551724138,1.3776442442895307,0,1.2643678160919478,0.15013665820589472,66.41945161446714
2330,10,60,7,15,8,60,63.33333333333333,1.5277809024954254,6.932207947035799,2.0170776470603675,3.489476377622072,29,62.06896551724138,1.3776442442895307,3.528429400951878,1.079028975332492,1.5501896936918662,62.06896551724138,1.3776442442895307,0,1.2643678160919478,0.15013665820589472,66.41945161446714
2330,10,60,7,15,10,60,63.33333333333333,1.5277809024954254,6.932207947035799,2.0170776470603675,3.489476377622072,29,62.06896551724138,1.3776442442895307,3.528429400951878,1.079028975332492,1.5501896936918662,62.06896551724138,1.3776442442895307,0,1.2643678160919478,0.15013665820589472,66.41945161446714
2454,10,60,7,20,10,53,56.60377358490566,1.2170100729569604,3.741194260835667,1.4079425354331643,5.147137666540734,30,56.666666666666664,1.8273697065939838,3.853025898235292,1.3899790109082886,1.4092031585528322,56.666666666666664,1.8273697065939838,0,0.06289308176100405,0.6103596336370234,66.3714488736977
2454,10,60,7,10,10,53,56.60377358490566,1.20826633988773,3.725220986632796,1.4033352235095995,5.131947744040951,30,56.666666666666664,1.8282297178087787,3.92695940350617,1.390273281903877,1.4098663689124584,56.666666666666664,1.8282297178087787,0,0.06289308176100405,0.6199633779210487,66.11715004380667
2454,14,40,5,10,6,18,61.111111111111114,1.9570782214104498,6.9081931224447395,2.0101896044322474,4.488099708930666,9,66.66666666666666,2.540947575594158,5.248925680099439,1.062238765369275,1.1591981234383737,66.66666666666666,2.540947575594158,0,5.555555555555543,0.5838693541837083,65.8506459748926
2454,10,60,7,10,8,53,56.60377358490566,1.2350607941608638,3.856538553218213,1.4296639330598144,5.06749457936323,30,56.666666666666664,1.6805498471724953,3.521471852204042,1.3040984220642122,1.2656900459127067,56.666666666666664,1.6805498471724953,0,0.06289308176100405,0.44548905301163155,65.39352764941499
2330,12,60,10,10,10,58,65.51724137931035,1.6950268011753264,6.682698566358114,1.503775915119872,4.017048194467672,29,65.51724137931035,1.3134039519502745,3.1490056422246226,0.9096761414398076,0.867974182179355,65.51724137931035,1.3134039519502745,0,0.0,0.38162284922505196,64.98082932684993
